note,time,channel
47,0.3,0
71,0.15,0
70,0.15,0
0,0.3,0
66,0.3,0
0,0.08,0
0,0.079375,0
0,0.140625,0
66,0.3,0
0,0.3,0
66,0.3,0
0,0.08,0
0,0.079375,0
0,0.140625,0
64,0.3,0
0,0.3,0
64,0.3,0
0,0.08,0
0,0.079375,0
0,0.140625,0
62,0.15,0
61,0.15,0
0,0.15,0
0,0.15,0
66,0.15,0
64,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
54,0.15,0
53,0.15,0
69,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.3,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.3,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.044375,0
0,0.045,0
0,0.060625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.3,0
62,0.15,0
61,0.15,0
66,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
66,0.0025,0
0,0.1475,0
69,0.0025,0
0,0.138125,0
69,0.009375,0
0,0.15,0
70,0.0025,0
0,0.1475,0
70,0.0025,0
0,0.1475,0
70,0.0025,0
0,0.138125,0
70,0.009375,0
0,0.15,0
0,0.15,0
73,0.0025,0
0,0.1475,0
76,0.0025,0
0,0.138125,0
76,0.009375,0
0,0.15,0
77,0.0025,0
0,0.1475,0
77,0.0025,0
0,0.1475,0
77,0.0025,0
0,0.138125,0
77,0.009375,0
0,0.15,0
80,0.0025,0
0,0.1475,0
80,0.0025,0
0,0.138125,0
81,0.009375,0
0,0.15,0
0,0.15,0
75,0.0025,0
0,0.1475,0
75,0.0025,0
0,0.1475,0
75,0.0025,0
0,0.138125,0
75,0.009375,0
0,0.15,0
78,0.0025,0
0,0.1475,0
78,0.0025,0
0,0.138125,0
79,0.009375,0
0,0.15,0
0,0.15,0
73,0.0025,0
0,0.1475,0
73,0.0025,0
0,0.1475,0
73,0.0025,0
0,0.138125,0
73,0.009375,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.07,0
0,0.009375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.15,0
0,0.08,0
0,0.079375,0
0,0.140625,0
0,0.15,0
0,0.15,0
0,3.6,0
